iso_code,country,year,wue_industrial_usdpm3,wue_irrigation_usdpm3,wue_municipal_usdpm3,wue_general_usdpm3,w_agriculture,w_industry,w_munucipal,gep_water_agricultural,gep_water_industrial,gep_water_municipal
BGR,Bulgaria,2010,2.30932768,0.032327267,31.939268033,6.645742127,949400000,3.817e+09,948300000,30691507.2898,8814703754.56,30288007875.6939
BGR,Bulgaria,2015,2.543715285,0.113194777,35.433705945,7.441825243,828800000,3.901e+09,899600000,93815831.1776,9923033326.785,31876161868.122
BHR,Bahrain,2000,335.009677796,0.496671149,57.349984744,43.817321652,1.7e+08,,,84434095.33,,
BHR,Bahrain,2005,,,,,159200000,20300000,177900000,,,
BHR,Bahrain,2010,577.899784554,0.499642902,59.995528987,63.963861848,,,,,,
BHR,Bahrain,2015,846.501636643,0.661537762,67.288889242,71.811379455,,,,,,
BHS,Bahamas,2000,,,343.803766709,,,,2.5e+07,,,8595094167.725
BHS,Bahamas,2010,,,322.023404294,,,,,,,
BHS,Bahamas,2015,,,300.415700484,,,,3.1e+07,,,9312886715.004
BIH,Bosnia and Herzegovina,2000,148.836498305,,17.518690065,,,,321800000,,,5637514462.917
BIH,Bosnia and Herzegovina,2010,59.148498047,,25.022656522,,,48800000,,,2886446704.6936,
BIH,Bosnia and Herzegovina,2015,47.826324925,,28.80891116,,,,,,,
BLR,Belarus,2000,14.266152759,,13.36552283,,4.42e+08,544500000,850500000,,7767920177.2755,11367377166.915
BLR,Belarus,2005,,,,,4.09e+08,4.94e+08,8.03e+08,,,
BLR,Belarus,2010,35.112514812,,42.161274516,,4.71e+08,487500000,589500000,,17117350970.85,24854071327.182
BLR,Belarus,2015,53.451426905,0.052554172,41.075425714,31.39713001,4.89e+08,4.78e+08,5.47e+08,25698990.108,25549782060.59,22468257865.558
BLZ,Belize,2000,12.571700183,0.121249063,72.110898328,10.860175453,68400000,21200000,11400000,8293435.9092,266520043.8796,822064240.9392
BLZ,Belize,2010,13.781055005,0.146741854,106.838675537,15.051053565,,,,,,
BLZ,Belize,2015,12.610052359,0.185619289,125.656087719,16.95553336,,,,,,
BOL,Bolivia,2000,,,,,1.777e+09,,,,,
BOL,Bolivia,2010,,,,,1.92e+09,3.2e+07,1.36e+08,,,
BOL,Bolivia (Plurinational State of),2000,89.393271397,0.160740754,72.821631346,7.007296022,,,,,,
BOL,Bolivia (Plurinational State of),2010,220.768040688,0.168875912,78.278083933,9.02290691,,,,,,
BOL,Bolivia (Plurinational State of),2015,238.783150188,0.19507862,77.022718259,11.05948602,,,,,,
BRA,Brazil,2000,23.845710376,0.214799635,53.60068539,17.164497011,,,,,,
BRA,Brazil,2005,,,,,3.17e+10,1.014e+10,1.623e+10,,,
BRA,Brazil,2010,27.953204319,0.266342637,59.381656655,18.568513355,4.49e+10,1.272e+10,1.721e+10,11958784401.3,355564758937.68,1021958311032.55
BRA,Brazil,2015,24.195711682,0.439667666,70.444927182,23.286365301,,,,,,
