iso3_r250_label,iso3_r250_id,iso3_r250_name,wateruse_gep
TLS,626,Timor-Leste,675018088.099
TTO,780,Trinidad and Tobago,7925067707.511
TUN,788,Tunisia,12445429977.6124
TUR,792,Turkey,256464522151.944
TZA,834,Tanzania,19174247177.101
UGA,800,Uganda,8204837238.469
UKR,804,Ukraine,19700569229.078
URY,858,Uruguay,9600717508.58292
USA,840,United States,3315962541531.7
UZB,860,Uzbekistan,56699412536.117
VCT,670,Saint Vincent and the Grenadines,88162086.736666
VEN,862,Venezuela,83978238955.1439
VNM,704,Vietnam,122636367915.084
YEM,887,Yemen,5757426313.975
ZAF,710,South Africa,76517018883.5
ZMB,894,Zambia,7599397621.158
ZWE,716,Zimbabwe,6182746390.19225
