brk_name,ee_r264_id,iso3_r250_id,iso3_r250_label,ee_r264_description
Pitcairn Is.,175.0,612.0,PCN,Pitcairn Islands
Vatican,237.0,336.0,VAT,Vatican City
Switzerland,42.0,756.0,CHE,Switzerland
Albania,6.0,8.0,ALB,Albania
Nigeria,164.0,566.0,NGA,Nigeria
Romania,189.0,642.0,ROU,Romania
Sri Lanka,131.0,144.0,LKA,Sri Lanka
Serbia,205.0,688.0,SRB,Serbia
Mauritius,156.0,480.0,MUS,Mauritius
Maldives,142.0,462.0,MDV,Maldives
Burkina Faso,22.0,854.0,BFA,Burkina Faso
U.S. Virgin Is.,241.0,850.0,VIR,"Virgin Islands, U.S."
Finland,5.0,248.0,ALA,Åland
"Bonaire, Sint Eustatius and Saba",21.0,535.0,BES,"Bonaire, Sint Eustatius and Saba"
Turks and Caicos Is.,216.0,796.0,TCA,Turks and Caicos Islands
Antigua and Barb.,14.0,28.0,ATG,Antigua and Barbuda
Fr. S. and Antarctic Lands,13.0,260.0,ATF,French Southern Territories
Greenland,92.0,304.0,GRL,Greenland
Bermuda,31.0,60.0,BMU,Bermuda
Israel,185.0,275.0,PSE,Palestine
Chad,217.0,148.0,TCD,Chad
Japan,116.0,392.0,JPN,Japan
Belgium,19.0,56.0,BEL,Belgium
Turkmenistan,222.0,795.0,TKM,Turkmenistan
Uganda,231.0,800.0,UGA,Uganda
Antarctica,12.0,10.0,ATA,Antarctica
Madagascar,141.0,450.0,MDG,Madagascar
New Zealand,221.0,772.0,TKL,Tokelau
South Africa,261.0,710.0,ZAF,South Africa
India,105.0,356.0,IND,India
Grenada,91.0,308.0,GRD,Grenada
Benin,20.0,204.0,BEN,Benin
Greece,90.0,300.0,GRC,Greece
Moldova,140.0,498.0,MDA,Moldova
Malta,147.0,470.0,MLT,Malta
Syria,215.0,760.0,SYR,Syria
France,155.0,474.0,MTQ,Martinique
Paraguay,184.0,600.0,PRY,Paraguay
Samoa,245.0,882.0,WSM,Samoa
Czechia,59.0,203.0,CZE,Czechia
Mali,146.0,466.0,MLI,Mali
Norfolk Island,163.0,574.0,NFK,Norfolk Island
Comoros,51.0,174.0,COM,Comoros
Colombia,50.0,170.0,COL,Colombia
